Taxa	Romay_GDD_DTS
EP76	NaN
EP77	NaN
EP79	NaN
EP80	NaN
EP81	NaN
EP82	NaN
EP83	NaN
EP84	NaN
EP85	NaN
EP86	NaN
EZ1	NaN
EZ10	NaN
EZ11A	NaN
EZ12	NaN
EZ13	NaN
EZ14	NaN
EZ16A	NaN
EZ17	NaN
EZ18	NaN
EZ19	NaN
EZ2	NaN
EZ21	NaN
EZ23	NaN
EZ24	NaN
EZ25	NaN
EZ29	NaN
EZ3	NaN
EZ30	NaN
EZ31	NaN
EZ32	NaN
EZ33	NaN
EZ34	NaN
EZ37	NaN
EZ38	NaN
EZ4	NaN
EZ46	NaN
EZ48	NaN
EZ49	NaN
EZ5	NaN
EZ50	NaN
EZ51	NaN
EZ52	NaN
EZ53	NaN
EZ59	NaN
EZ6	NaN
EZ7	NaN
EZ8	NaN
EZ9	NaN
F2834T	1633.5048
F44	1960.6801
F6	1925.1432
F7	1203.5362
Fe	1658.2351
G80	NaN
GA209	1930.6034
GA220	1551.942
GA224	1641.6632
GE180	1684.5789
GEMN-0070	NaN
GEMN-0071	NaN
GEMN-0076	NaN
GEMN-0077	NaN
GEMN-0081	NaN
GEMN-0082	NaN
GEMN-0083	NaN
GEMN-0087	NaN
GEMN-0089	NaN
GEMN-0090	NaN
GEMN-0094	NaN
GEMN-0095	NaN
GEMN-0096	NaN
GEMN-0099	NaN
GEMN-0103	NaN
GEMN-0104	NaN
GEMN-0105	NaN
GEMN-0106	NaN
GEMN-0107	NaN
GEMN-0108	NaN
GEMN-0109	NaN
GEMN-0119	NaN
GEMN-0120	NaN
GEMN-0121	NaN
GEMN-0122	NaN
GEMN-0123	NaN
GEMN-0124	NaN
GEMN-0127	NaN
GEMN-0128	NaN
GEMN-0129	NaN
GEMN-0130	NaN
GEMN-0131	NaN
GEMN-0132	NaN
GEMN-0133	NaN
GEMN-0134	NaN
GEMN-0135	NaN
GEMN-0136	NaN
GEMN-0151	NaN
GEMN-0152	NaN
GEMN-0153	NaN
GEMN-0164	NaN
GEMN-0165	NaN
GEMN-0166	NaN
GEMN-0167	NaN
GEMN-0168	NaN
GEMN-0169	NaN
GEMN-0170	NaN
GEMN-0172	NaN
GEMN-0173	NaN
GEMN-0186	NaN
GEMN-0187	NaN
GEMN-0190	NaN
GEMN-0191	NaN
GEMN-0192	NaN
GEMN-0193	NaN
GEMN-0205	NaN
GEMN-0207	NaN
GEMN-0208	NaN
GEMN-0209	NaN
GEMN-0210	NaN
GEMN-0211	NaN
GEMN-0212	NaN
GEMN-0213	NaN
GEMN-0214	NaN
GEMN-0216	NaN
GEMN-0217	NaN
GEMN-0221	NaN
GEMS-0068	NaN
GEMS-0069	NaN
GEMS-0072	NaN
GEMS-0073	NaN
GEMS-0074	NaN
GEMS-0075	NaN
GEMS-0078	NaN
GEMS-0079	NaN
GEMS-0080	NaN
GEMS-0084	NaN
GEMS-0085	NaN
GEMS-0086	NaN
GEMS-0101	NaN
GEMS-0102	NaN
GEMS-0125	NaN
GEMS-0185	NaN
GEMS-0188	NaN
GEMS-0189	NaN
GEMS-0199	NaN
GEMS-0200	NaN
GEMS-0201	NaN
GEMS-0202	NaN
GEMS-0203	NaN
GEMS-0206	NaN
GEMS-0215	NaN
GEMS-0219	NaN
GEMS-0220	NaN
GEMS-0222	NaN
GEMS-0223	NaN
GT112	1974.4915
GT154	1844.7229
GT169A	1999.7206
GT601	1525.5204
GT602	1828.0796
H105W	1487.954
H49	1567.9956
H84	1583.4547
H91	1699.2147
H95	1591.9871
H99	1437.8672
HP301	1545.5265
Hi27	2107.6207
Hy	NaN
I137TN	1727.0729
I205	1549.0828
I29	1440.0084
IA2132	1201.2659
IDS28	1569.9376
IDS69	1619.7571
IDS91	1570.6241
Ia5125	1380.1005
Il101	NaN
Il14H	1464.2253
Il677a	1451.3594
K148	1576.6611
K4	1788.1868
K55	1639.1764
K64	1718.1663
KY226	1760.6011
KY228	1828.3137
Ki11	1934.8389
Ki14	2351.7813
Ki2021	NaN
Ki21	1906.8395
Ki3	1854.0948
Ki43	1774.6963
Ki44	NaN
Ky21	1711.3783
L317	1614.7358
L578	1795.4333
L690	1941.0934
LH132	NaN
LH74	NaN
LH82	NaN
M14	1532.1014
M162W	1857.5104
M37W	1755.639
MEF156-55-2	1291.0637
MO1W	1571.8173
