Taxa	Lipka_aTgT
CML14	NaN
CML142	NaN
CML144	NaN
CML154Q	0.933441152
CML157Q	0.797584384
CML158Q	NaN
CML172	NaN
CML176	NaN
CML184	NaN
CML195	NaN
CML196	NaN
CML197	NaN
CML198	NaN
CML199	NaN
CML200	NaN
CML201	NaN
CML204	NaN
CML206	NaN
CML210	NaN
CML211	NaN
CML212	NaN
CML213	NaN
CML214	NaN
CML215	NaN
CML217	NaN
CML218	1.032755437
CML219	NaN
CML220	0.981575272
CML223	NaN
CML224	NaN
CML225	NaN
CML226	NaN
CML227	NaN
CML228	NaN
CML229	NaN
CML230	NaN
CML231	NaN
CML233	NaN
CML234	NaN
CML235	NaN
CML236	NaN
CML238	0.861065717
CML242	NaN
CML246	NaN
CML247	0.815719125
CML254	0.736786359
CML255	NaN
CML258	NaN
CML261	NaN
CML264	NaN
CML269	NaN
CML270	NaN
CML277	0.572232217
CML281	NaN
CML287	0.987667233
CML288	NaN
CML289	NaN
CML295	NaN
CML304	NaN
CML308	NaN
CML309	NaN
CML310	NaN
CML311	0.855212162
CML312	NaN
CML313	NaN
CML314	0.929879194
CML315	NaN
CML316	NaN
CML317	NaN
CML318	NaN
CML319	NaN
CML320	NaN
CML321	NaN
CML322	0.703293803
CML323	0.594460756
CML324	NaN
CML325	NaN
CML326	NaN
CML327	NaN
CML328	NaN
CML329	NaN
CML330	NaN
CML331	NaN
CML332	0.917461459
CML333	0.811764214
CML334	NaN
CML335	NaN
CML336	NaN
CML337	NaN
CML338	NaN
CML339	NaN
CML340	NaN
CML341	NaN
CML342	NaN
CML343	NaN
CML344	NaN
CML345	NaN
CML346	NaN
CML347	NaN
CML348	NaN
CML357	NaN
CML358	NaN
CML359	NaN
CML360	NaN
CML361	NaN
CML362	NaN
CML363	NaN
CML365	NaN
CML366	NaN
CML367	NaN
CML368	NaN
CML370	NaN
CML371	NaN
CML372	NaN
CML373	NaN
CML374	NaN
CML375	NaN
CML376	NaN
CML377	NaN
CML378	NaN
CML379	NaN
CML38	0.788948132
CML380	NaN
CML381	NaN
CML383	NaN
CML384	NaN
CML386	NaN
CML387	NaN
CML388	NaN
CML389	NaN
CML390	NaN
CML391	NaN
CML392	NaN
CML394	NaN
CML395	NaN
CML416	NaN
